Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
19052616,1123.02,PPB100,ST,N,KONSOLSATS FASADSTEGE A-800SVART ( 610044 ) CW,0,N,J,N
19052618,124.85,PPB100,ST,N,TRAPPSTEG TAKSTEGE ZM( 470281 ) CW,0,N,J,N
19052619,938.81,PPB100,ST,N,STÅPLATTA FASADSTEGE EX. SKRUV300X440MM ZM ( 470411 ) CW,0,N,J,N
19052620,1165.55,PPB100,ST,J,TAK / FASADSTEGE 1.5M T-RÖD( 570270 ) CW,0,N,J,N
19052621,1676.68,PPB100,ST,J,TAK / FASADSTEGE 2.4M T-RÖD( 570271 ) CW,0,N,J,N
19052622,124.85,PPB100,ST,N,TRAPPSTEG TAKSTEGE T-RÖD( 570281 ) CW,0,N,J,N
19052623,444.21,PPB100,ST,J,GLIDSKYDD TAKSTEGE SVART( 670112 ) CW,0,N,J,N
19052624,1165.55,PPB100,ST,J,TAK / FASADSTEGE 1.5M SVART( 670270 ) CW,0,N,J,N
19052625,1676.68,PPB100,ST,J,TAK / FASADSTEGE 2.4M SVART( 670271 ) CW,0,N,J,N
19052626,124.85,PPB100,ST,J,TRAPPSTEG TAKSTEGE SVART( 670281 ) CW,0,N,J,N
19052627,938.81,PPB100,ST,N,STÅPLATTA FASADSTEGE EX. SKRUV300X440MM SVART ( 670411 ) CW,0,N,J,N
19052628,106,PPD360,ST,N,BITS T25 TORX-M6 F. MONT.VERKTMILLES,0,N,J,N
19052629,144,PPD360,ST,N,BITS PH2-M6  F.MONT.VERKTYG NYMILLES,0,N,J,N
19052654,691.25,PPB100,PAR,J,HANDLEDARPAR FASADSTEGE1280MM ZM ( 100322 ) CW,0,N,J,N
19052655,1174.02,PPB100,ST,N,KONSOLSATS FASADSTEGE A-1000ZM ( 410045 ) CW,0,N,J,N
19052656,469.71,PPB100,ST,N,STÅNDARE RÄCKE TAKLUCKA ZM( 440070 ) CW,0,N,J,N
19052657,1676.68,PPB100,ST,J,TAK / FASADSTEGE 2.4M ZM( 470271 ) CW,0,N,J,N
19052658,1458.5,PPB100,ST,N,FÄLLBART VILPLAN FASADSTEGE390X410MM ( 470400 ) CW,0,N,J,N
19052660,1174.02,PPB100,ST,N,KONSOLSATS FASADSTEGE A-1000T-RÖD ( 510045 ) CW,0,N,J,N
19052661,266.93,PPB100,ST,N,ADAPTERSATS SKYDDSRÄCKETAKSTEGE T-RÖD ( 570230P ) CW,0,N,J,N
19052662,1458.5,PPB100,ST,N,FÄLLBART VILPLAN FASADSTEGE390X410MM T-RÖD ( 570400 ),0,N,J,N
19052663,691.25,PPB100,PAR,N,HANDLEDARPAR FASADSTEGE1280MM SVART ( 100334 ) CW,0,N,J,N
19052664,1174.02,PPB100,ST,N,KONSOLSATS FASADSTEGE A-1000SVART ( 610045 ) CW,0,N,J,N
19052665,1458.5,PPB100,ST,N,FÄLLBART VILPLAN FASADSTEGE390X410MM SVART ( 670400 ) CW,0,N,J,N
19052666,2239.41,PPB100,ST,N,LÅSBAR LUCKA RYGGSKYDD INK LÅSSVART ( 690505 ) CW,0,N,J,N
19052673,7200,PPD310,FRP,N,FAST KLAMMER FZV U. SKRUVF01 1000ST BJARNESYSTEM,0,N,J,N
19052675,6000,PPD310,FRP,N,FAST SKJUVKLAMMER FZV 4 SKRUVF01425S 100ST BJARNESYSTEM,0,N,J,N
19052676,9350,PPD310,FRP,N,FAST KLAMMER RF. U. SKRUVF02 500ST BJARNESYSTEM,0,N,J,N
19052677,8700,PPD310,FRP,J,FAST KLAMMER RF. 1 SKRUVF02S 500ST BJARNESYSTEM,0,N,J,N
19052678,2190,PPD330,FRP,N,FOTRÄNNKROKSKRUV RF 5X35T20 (500ST),0,N,J,N
19052679,6000,PPD310,FRP,N,GLIDKLAMMER RÄKAN FZV U. SKRUVG01 500ST BJARNESYSTEM,0,N,J,N
19052680,26800,PPD310,FRP,N,GLIDKLAMMER BANDAD FZV 1 SKRUVG01C 1050ST BJARNESYSTEM,0,N,J,N
19052681,13500,PPD310,FRP,N,GLIDKLAMMER RÄKAN ÖPPEN FZV1 SKRUV G01S90 500ST BJARNES,0,N,J,N
19052682,14500,PPD310,FRP,N,GLIDKLAMMER 2 HÅL RF U. SKRUVG02 500ST BJARNESYSTEM,0,N,J,N
19052683,26400,PPD310,FRP,N,GLIDKLAMMER RF 2 SKRUVG02S 400ST BJARNESYSTEM,0,N,J,N
19052684,5975,PPD310,FRP,N,KLAMMERSKRUV RF 4.5X26 T20KLRT 1000ST BJARNESYSTEM,0,N,J,N
19052685,5350,PPD310,FRP,N,KLAMMERSKRUV RF 4.5X50 T20KLRT 500ST BJARNESYSTEM,0,N,J,N
19052706,63.5,PPC410,KG,N,GALV PLÅT FA 1250X0.6 (1000KG)Z275 RULLE,0,N,J,N
19052707,63.5,PPC410,KG,N,GALV PLÅT FA 1250X0.6 (2000KG)Z275 RULLE,0,N,J,N
19052865,62.5,PPC410,KG,N,GALV PLÅT FA 1250X0.8 (2000KG)Z275 RULLE,0,N,J,N
19052870,69,PPB150,ST,J,FÄSTE OFALSAD PANNA SOLSYSTEMGÄNGAD ZM ( TF1400 ),0,N,J,N
19052994,64,PPC410,KG,N,GALV PLÅT FA 1500X0.6 (2000KG)Z275 RULLE,0,N,J,N
19052997,63,PPC410,KG,N,GALV PLÅT FA 1500X0.8 (2000KG)Z275 RULLE,0,N,J,N
19053351,203,PPD330,ST,N,CHANERB L-250MM VFZSÖRQVIST TEKNIK,0,N,J,N
19053352,203,PPD330,ST,N,CHANER KORT L-170MM VFZSÖRQVIST TEKNIK,0,N,J,N
19053415,24600,TC4660,ST,N,PLÅTBOCKARE BG50 GUL/BLÅB=500MM,0,N,J,N
19053429,1075,TC4660,ST,N,DIKTMEJSEL TRÄ L=220MM B=90MM,0,N,J,N
19053435,17350,TC4660,ST,N,POCKET BENDER 5-50MM,0,N,J,N
19053436,36200,TC4660,ST,N,MAXIBENDER 0-350MM,0,N,J,N
19053448,62.5,TC4660,M,N,KEDJA TILL TAKLUCKA,0,N,J,N
19053455,2640,TC4660,ST,N,FALSKLOSS HANGTAG 280X140H:25+35,0,N,J,N
19053694,59,PPC540,KG,J,ALUZINK PLÅT 1250X0.7 1TAZ150 RULLE,0,N,J,N
19053697,45,PPC200,KG,N,KALLV PLÅT SPD 2000X1000X2.5(1ST=40.0KG),40,N,J,N
19053698,45,PPC200,KG,N,KALLV PLÅT SPD 2000X1000X3.0(1ST=48KG),48,N,J,N
19053700,45.5,PPC200,KG,N,KALLV PLÅT SPD 2000X1250X0.7(1ST=14.0KG),14,N,J,N
19053701,45,PPC200,KG,N,KALLV PLÅT SPD 2000X1250X1.0(1ST=20.0KG),20,N,J,N
19053702,45,PPC200,KG,N,KALLV PLÅT SPD 2000X1250X1.25(1ST=25.0KG),25,N,J,N
19053703,44.5,PPC200,KG,J,KALLV PLÅT SPD 2000X1250X1.5(1 ST=30.0KG),30,N,J,N
19053704,44.5,PPC200,KG,N,KALLV PLÅT SPD 2000X1250X2.0(1ST=40.0KG),40,N,J,N
19053705,44.5,PPC200,KG,N,KALLV PLÅT SPD 2000X1250X2.5(1ST=50.0KG),50,N,J,N
19053706,44.5,PPC200,KG,N,KALLV PLÅT SPD 2000X1250X3.0(1ST=60.0KG),60,N,J,N
19053707,45.5,PPC200,KG,N,KALLV PLÅT SPD 2500X1250X0.7(1ST=18.0KG),18,N,J,N
19053708,63,PPC590,KG,J,MAGNELIS PLÅT 2500X1250X1.0ZM310 (1ST=25.0KG),25,N,J,N
19053709,65.5,PPC590,KG,N,MAGNELIS PLÅT 1250X0.7 1TZM310 RULLE,0,N,J,N
19053710,58.5,PPC400,KG,J,GALV PLÅT FA 2000X1250X1.5Z275 (1ST=30.0KG),30,N,J,N
19053711,58,PPC400,KG,N,GALV PLÅT FA 2000X1250X2.0Z275 (1ST=40.0KG),40,N,J,N
19053757,629,PPA160,ST,J,RÄNNA ALU 125 4M SVART 01PLANNJA,0,N,J,N
19053758,942,PPA160,ST,J,RÄNNA ALU 125 6M SVART 01PLANNJA,0,N,J,N
19053759,692,PPA160,ST,N,RÄNNA ALU 125 4M MÖRKSILVER 15PLANNJA,0,N,J,N
19053760,1040,PPA160,ST,N,RÄNNA ALU 125 6M MÖRKSILVER 15PLANNJA,0,N,J,N
19053761,692,PPA160,ST,N,RÄNNA ALU 125 4M MÖRKGRÅ 20PLANNJA,0,N,J,N
19053762,1040,PPA160,ST,N,RÄNNA ALU 125 6M MÖRKGRÅ 20PLANNJA,0,N,J,N
19053763,692,PPA160,ST,N,RÄNNA ALU 125 4M MÖRKRÖD 22PLANNJA,0,N,J,N
19053764,1040,PPA160,ST,N,RÄNNA ALU 125 6M MÖRKRÖD 22PLANNJA,0,N,J,N
19053765,692,PPA160,ST,J,RÄNNA ALU 125 4M SILVERMET. 45PLANNJA,0,N,J,N
19053766,1040,PPA160,ST,J,RÄNNA ALU 125 6M SILVERMET. 45PLANNJA,0,N,J,N
19053767,629,PPA160,ST,J,RÄNNA ALU 125 4M VIT 80PLANNJA,0,N,J,N
19053768,942,PPA160,ST,J,RÄNNA ALU 125 6M VIT 80PLANNJA,0,N,J,N
19053771,810,PPA160,ST,N,RÄNNA ALU 150 4M SVART 01PLANNJA,0,N,J,N
19053772,1220,PPA160,ST,N,RÄNNA ALU 150 6M SVART 01PLANNJA,0,N,J,N
19053773,891,PPA160,ST,N,RÄNNA ALU 150 4M MÖRKSILVER 15PLANNJA,0,N,J,N
19053774,1340,PPA160,ST,N,RÄNNA ALU 150 6M MÖRKSILVER 15PLANNJA,0,N,J,N
19053775,891,PPA160,ST,N,RÄNNA ALU 150 4M MÖRKGRÅ 20PLANNJA,0,N,J,N
19053776,1340,PPA160,ST,N,RÄNNA ALU 150 6M MÖRKGRÅ 20PLANNJA,0,N,J,N
19053777,891,PPA160,ST,N,RÄNNA ALU 150 4M MÖRKRÖD 22PLANNJA,0,N,J,N
19053778,1340,PPA160,ST,N,RÄNNA ALU 150 6M MÖRKRÖD 22PLANNJA,0,N,J,N
19053779,891,PPA160,ST,N,RÄNNA ALU 150 4M SILVERMET. 45PLANNJA,0,N,J,N
19053780,1340,PPA160,ST,N,RÄNNA ALU 150 6M SILVERMET. 45PLANNJA,0,N,J,N
19053781,810,PPA160,ST,N,RÄNNA ALU 150 4M VIT 80PLANNJA,0,N,J,N
19053782,1220,PPA160,ST,N,RÄNNA ALU 150 6M VIT 80PLANNJA,0,N,J,N
19053785,706,PPA330,ST,J,RÄNNVINKEL ALU INNER 125-90GRSVART 01 PLANNJA,0,N,J,N
19053786,800,PPA330,ST,N,RÄNNVINKEL ALU INNER 125-135GRSVART 01 PLANNJA,0,N,J,N
19053787,777,PPA330,ST,N,RÄNNVINKEL ALU INNER 125-90GRMÖRKSILVER 15 PLANNJA,0,N,J,N
19053788,880,PPA330,ST,N,RÄNNVINKEL ALU INNER 125-135GRMÖRKSILVER 15 PLANNJA,0,N,J,N
19053789,777,PPA330,ST,N,RÄNNVINKEL ALU INNER 125-90GRMÖRKGRÅ 20 PLANNJA,0,N,J,N
19053790,880,PPA330,ST,N,RÄNNVINKEL ALU INNER 125-135GRMÖRKGRÅ 20 PLANNJA,0,N,J,N
19053791,777,PPA330,ST,N,RÄNNVINKEL ALU INNER 125-90GRMÖRKRÖD 22 PLANNJA,0,N,J,N
19053792,880,PPA330,ST,N,RÄNNVINKEL ALU INNER 125-135GRMÖRKRÖD 22 PLANNJA,0,N,J,N
19053793,777,PPA330,ST,J,RÄNNVINKEL ALU INNER 125-90GRSILVERMET. 45 PLANNJA,0,N,J,N
19053794,880,PPA330,ST,N,RÄNNVINKEL ALU INNER 125-135GRSILVERMET. 45 PLANNJA,0,N,J,N
19053795,706,PPA330,ST,J,RÄNNVINKEL ALU INNER 125-90GRVIT 80 PLANNJA,0,N,J,N
