Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
73556674,2675,BG0200,ST,N,VÄRMEPUMPSSKYDD VIT ALUMINIUMJABO,0,N,N,N
73556678,1275,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1480X70X70MM SVART HÖRN JABO,0,N,N,N
73556682,788,BG0200,ST,N,"BLOMKRUKA ODLA 35X35X40 CMT=1,5 MM CORTEN JABO",0,N,N,N
73556686,1100,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1480X70X70MM VARMGALV STÅL MELLAN JABO,0,N,N,N
73556690,123,BG0200,ST,N,BOTTENPLATTA FÖR BLOMKRUKAODLA 35X35 CM CORTEN JABO,0,N,N,N
73556694,1390,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1770X70X70MM VIT START/AVSLUT JABO,0,N,N,N
73556696,433,BG0200,ST,N,"BLOMKRUKA ODLA 25X25X30 CMT=1,5 MM CORTEN JABO",0,N,N,N
73556698,1080,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1480X70X70MM VARMGALV STÅL START/AVSLUT,0,N,N,N
73556700,94.5,BG0200,ST,N,BOTTENPLATTA FÖR BLOMKRUKAODLA 25X25 CM CORTEN JABO,0,N,N,N
73556706,1125,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1480X70X70MM VARMGALV STÅL HÖRN JABO,0,N,N,N
73556709,243,BG0190,ST,N,STOLPSKO GALVAD 96X96X150 MMJABO,0,N,N,N
73556714,943,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1100X70X70MM VARMGALV STÅL MELLAN JABO,0,N,N,N
73556718,219,BG0190,ST,N,STOLPSKO SVART 71X71X150 MMJABO,0,N,N,N
73556722,215,BG0190,ST,N,STOLPSKO VIT 71X71X150 MMJABO,0,N,N,N
73556728,1275,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1480X70X70MM VIT MELLAN JABO,0,N,N,N
73556735,1275,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1480X70X70MM VIT START/AVSLUT JABO,0,N,N,N
73556740,1275,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1480X70X70MM VIT HÖRN JABO,0,N,N,N
73556742,3390,BG0200,ST,N,TORKSTÄLLNING VIT 195X300X120CM JABO,0,N,N,N
73556744,1415,BG0190,ST,N,ALTANRÄCKE RIBB VIT 1200X900MM JABO,0,N,N,N
73556747,294,BG0190,ST,N,STOLPSKO ÖCKERÖ VIT 70X70X80MM JABO,0,N,N,N
73556749,12750,BG0200,ST,N,UTEKÖK HORIZONT TRYCKIMP220X162X67 CM JABO,0,N,N,N
73556752,1200,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1770X70X70MM VARMGALV STÅL HÖRN JABO,0,N,N,N
73556754,1180,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1770X70X70MM VARMGALV STÅL MELLAN JABO,0,N,N,N
73556761,294,BG0190,ST,N,STOLPSKO ÖCKERÖ SVART 70X70X80MM JABO,0,N,N,N
73556766,1630,BG0190,ST,N,ALTANRÄCKE KRYSS & RIBB VIT1200X900 MM JABO,0,N,N,N
73556768,1645,BG0190,ST,N,"ALTANRÄCKE TRAPPSATS VIT128X65,5/65,1 CM JABO",0,N,N,N
73556771,272,BG0190,ST,N,STOLPSKO ÖCKERÖ GALV 70X70X80MM JABO,0,N,N,N
73556774,1390,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1770X70X70MM VIT MELLAN JABO,0,N,N,N
73556776,1390,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1770X70X70MM SVART START/AVSLUT JABO,0,N,N,N
73556779,1390,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1770X70X70MM VIT HÖRN JABO,0,N,N,N
73556781,16400,BG0200,ST,N,UTEKÖK HORIZONT VIT220X162X67 CM JABO,0,N,N,N
73556784,1390,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1770X70X70MM SVART MELLAN JABO,0,N,N,N
73556787,1170,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1770X70X70MM VARMGALV STÅL START/AVSLUT,0,N,N,N
73556789,16400,BG0200,ST,N,UTEKÖK HORIZONT SVART220X162X67 CM JABO,0,N,N,N
73556791,1390,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1770X70X70MM SVART HÖRN JABO,0,N,N,N
73556795,587,BG0200,ST,N,FÄSTPLATTA MED FRANSK SKRUVARNÖ METALL 100X100 MM JABO,0,N,N,N
73556797,859,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 715X70X70MM VIT HÖRN JABO,0,N,N,N
73556799,480,BG0200,ST,N,HYLLA ÖCKERÖ 500X150 MM SVARTJABO,0,N,N,N
73556801,1330,BG0190,ST,N,SKÄRM CLASSIC PIHL TRYCKIMP890X890 MM JABO,0,N,N,N
73556805,585,BG0200,ST,N,FÄSTPLATTA BULT+MUTTER ARNÖMETALL 100X100 MM JABO,0,N,N,N
73556809,859,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 715X70X70MM SVART START/AVSLUT JABO,0,N,N,N
73556811,5650,BG0200,ST,N,DÖRR 10° RAK PANEL HÖGER 9X20,0,N,N,N
73556815,859,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 715X70X70MM SVART HÖRN JABO,0,N,N,N
73556818,5200,BG0200,ST,N,DÖRR 10° RAK PANEL HÖGER 8X19,0,N,N,N
73556821,859,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 715X70X70MM VIT MELLAN JABO,0,N,N,N
73556823,5200,BG0200,ST,N,DÖRR 10° RAK PANELVÄNSTER 8X19,0,N,N,N
73556825,1800,BG0190,ST,N,GRIND STYRSÖ VIT 1000X900 MMJABO,0,N,N,N
73556832,1205,BG0190,ST,N,GRIND SKAGEN VIT 1000X770 MMJABO,0,N,N,N
73556844,1570,BG0190,ST,N,GRIND SMÖGEN VIT 1000X800 MMJABO,0,N,N,N
73556846,203,BG0200,ST,N,FÄSTE FÖR ÖVERLIGGAREÖCKERÖ SVART 70X70 MM JABO,0,N,N,N
73556848,2035,BG0190,ST,N,SKÄRM CLASSIC PION TRYCKIMPREG890-1790X890 MM JABO,0,N,N,N
73556850,480,BG0200,ST,N,HYLLA ÖCKERÖ 500X150 MM VITJABO,0,N,N,N
73556852,1835,BG0190,ST,N,SKÄRM CLASSIC KAPRIFOL TRYCKIM1790X890 MM JABO,0,N,N,N
73556856,3540,BG0190,ST,N,SKÄRM CLASSIC SYRÉN TRYCKIMP1790X1790 MM JABO,0,N,N,N
73556858,203,BG0200,ST,N,FÄSTE FÖR ÖVERLIGGAREÖCKERÖ VIT 70X70 MM JABO,0,N,N,N
73556860,2000,BG0190,ST,N,SKÄRM CLASSIC LAVENDEL TRYCKIM890X1790 MM JABO,0,N,N,N
73556862,17750,BG0200,ST,N,GARAGEPORT 10° RAK PANEL GLAS25X21 INKL 2ST DÖRRSPÄRRAR,0,N,N,N
73556864,1160,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1100X70X70MM SVART HÖRN JABO,0,N,N,N
73556866,6625,BG0200,ST,N,DÖRR 18° RAK PANELHÖGER 8X19,0,N,N,N
73556868,1160,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1100X70X70MM SVART MELLAN JABO,0,N,N,N
73556870,1160,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1100X70X70MM VIT MELLAN JABO,0,N,N,N
73556872,16750,BG0200,ST,N,GARAGEPORT 10° RAK PANEL25X21 INKL 2ST DÖRRSPÄRRAR,0,N,N,N
73556874,1160,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1100X70X70MM SVART START/AVSLUT JABO,0,N,N,N
73556878,943,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1100X70X70MM VARMGALV STÅL HÖRN JABO,0,N,N,N
73556880,7275,BG0200,ST,N,DÖRR 18° RAK PANELVÄNSTER 9X20,0,N,N,N
73556882,6625,BG0200,ST,N,DÖRR 18° RAK PANELVÄNSTER 8X19,0,N,N,N
73556884,943,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1100X70X70MM VARMGALV STÅL START/AVSLUT,0,N,N,N
73556886,7275,BG0200,ST,N,DÖRR 18° RAK PANELHÖGER 9X20,0,N,N,N
73556888,6150,BG0200,ST,N,DÖRR 10° FISKBEN GLAS VÄNSTER8X19 2 GL. FÖNST. 23X23 CM,0,N,N,N
73556890,725,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 715X70X70MM VARMGALV STÅL HÖRN JABO,0,N,N,N
73556892,6450,BG0200,ST,N,DÖRR 10° RAK PANEL GLAS HÖGERR 9X20 2 GL. FÖNST. 42X56 CM,0,N,N,N
73556894,5650,BG0200,ST,N,DÖRR 10° RAK PANELVÄNSTER 9X20,0,N,N,N
73556896,859,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 715X70X70MM SVART MELLAN JABO,0,N,N,N
73556900,6150,BG0200,ST,N,DÖRR 10° FISKBEN GLAS HÖGER8X19 2 GL. FÖNST. 23X23 CM,0,N,N,N
73556902,725,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 715X70X70MM VARMGALV STÅL START/AVSLUT,0,N,N,N
73556906,9725,BG0200,ST,N,"DUBBELDÖRR 10° RAK PANEL15,3X19 INKL 2ST DÖRRSPÄRRAR",0,N,N,N
73556908,1160,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1100X70X70MM VIT HÖRN JABO,0,N,N,N
73556912,8625,BG0200,ST,N,DUBBELDÖRR 10° RAK PANEL13X19 INKL 2ST DÖRRSPÄRRAR,0,N,N,N
73556914,725,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 715X70X70MM VARMGALV STÅL MELLAN JABO,0,N,N,N
73556916,6450,BG0200,ST,N,DÖRR 10° RAK PANEL GLAS VÄNSTER 9X20 2 GL. FÖNST. 42X56 CM,0,N,N,N
73556918,1160,BG0190,ST,N,STAKETSTOLPE ÖCKERÖ 1100X70X70MM VIT START/AVSLUT JABO,0,N,N,N
73556920,149,BG0190,ST,N,SPJÄLA PROFILERAD ARNÖ 120X900MM VIT GRUNDMÅLAD JABO,0,N,N,N
73556922,865,BG0190,ST,N,ÖVERLIGGARE ARNÖ VITGRUNDMÅLAD 2400X140X45 MM JABO,0,N,N,N
73556924,10800,BG0200,ST,N,"DUBBELDÖRR 10° RAK PANEL15,3X19 INKL 2ST DÖRRSPÄRRAR",0,N,N,N
73556926,145,BG0190,ST,N,SPJÄLA PROFILERAD ARNÖ 94X900MM VIT GRUNDMÅLAD JABO,0,N,N,N
