Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
43913048,669,POG20A,M,N,AF/ARMAFLEX AF-3-048-AFÖRLIMMAD RÖRISOLERING 2M/ST,32,N,N,N
43913054,758,POG20A,M,N,AF/ARMAFLEX AF-3-054-AFÖRLIMMAD RÖRISOLERING 2M/ST,28,N,N,N
43913060,838,POG20A,M,N,AF/ARMAFLEX AF-3-060-AFÖRLIMMAD RÖRISOLERING 2M/ST,24,N,N,N
43913076,1030,POG20A,M,N,AF/ARMAFLEX AF-3-076-AFÖRLIMMAD RÖRISOLERING 2M/ST,16,N,N,N
43913089,1150,POG20A,M,N,AF/ARMAFLEX AF-3-089-AFÖRLIMMAD RÖRISOLERING 2M/ST,16,N,N,N
44133932,64000,POH53B,FRP,N,6339 CLEANTEC G35 20MM STORF2000X1200MM 72 KVM/FP,0,N,N,N
447221025,514,POH60B,M2,N,CONLIT 150 P 25MM (UTAN VÄV)1200x1200 (69.12M2/PALL),69.12,N,N,N
447221030,614,POH60B,M2,N,CONLIT 150 P 30MM (UTAN VÄV)1200x1200 (57.6M2/PALL),57.6,N,N,N
447221050,1030,POH60B,M2,N,CONLIT 150 P 50MM (UTAN VÄV)1200x1200 (34.56M2/PALL),34.56,N,N,N
447221060,1245,POH60B,M2,N,CONLIT 150 P 60MM (UTAN VÄV)1200x1200 (28.8M2/PALL),28.8,N,N,N
447221125,542,POH60B,M2,N,CONLIT 150 P 25MM (UTAN VÄV)600X1200 (69.12M2/PALL),69.12,N,N,N
447221140,857,POH60B,M2,N,CONLIT 150 P 40MM (UTAN VÄV)600X1200 (43.2M2/PALL),43.2,N,N,N
447221150,1070,POH60B,M2,N,CONLIT 150 P 50MM (UTAN VÄV)600X1200 (34.56M2/PALL),34.56,N,N,N
447221160,1295,POH60B,M2,N,CONLIT 150 P 60MM (UTAN VÄV)600X1200 (25.92M2/PALL),25.92,N,N,N
447221633,1405,POH500,M2,N,BRANDSKIVA CONLIT SVART EI1201000X600X90 1.2M2/FRP(21.6M2/P,21.6,N,N,N
44803106,6750,POH74B,ST,N,SUPERWOOL PLUS 128KG/M3 6MM800 GRAM 13.4 KVM/(4X5500MM),0,N,N,N
44803238,6150,POH74B,ST,N,SUPERWOOL PLUS 128KG/M3 38MM4810 GRAM 2.97KVM/RULLE,0,N,N,N
44804006,7500,POH74B,ST,N,SUPERWOOL HT 96KG/M3 6MM600 GRAM 13.4 KVM/(4X5500MM),0,N,N,N
44804213,6375,POH74B,RL,N,SUPERWOOL PLUS 128KG/M3 13MM1600 GRAM 8.93 KVM/RULLE,0,N,N,N
44804313,6075,POH74B,RL,N,SUPERWOOL HT 96KG/M3 13MM1200 GRAM 8.93 KVM/RULLE,0,N,N,N
44804325,5100,POH74B,RL,N,SUPERWOOL HT 96KG/M3 25MM2400 GRAM 4.46 KVM/RULLE,0,N,N,N
44804350,5150,POH74B,RL,N,SUPERWOOL HT 96KG/M3 50MM4800 GRAM 2.23 KVM/RULLE,0,N,N,N
44804413,7075,POH74B,RL,N,SUPERWOOL HT 128KG/M3 13MM1600 GRAM 8.93 KVM/RULLE,0,N,N,N
44804450,6450,POH74B,RL,N,SUPERWOOL HT 128KG/M3 50MM6400 GRAM 2.23 KVM/RULLE,0,N,N,N
44804506,8475,POH74B,ST,N,SUPERWOOL HT 128KG/M3 6MM800 GRAM 13.4 KVM/(4X5500MM),0,N,N,N
44804609,6100,POH74B,ST,N,SUPERWOOL PLUS 96KG/M3 6MM540 GRAM 13.4 KVM/(4X5500MM),0,N,N,N
45003543,912,POI70B,M,N,POLY-RÖRISOL AL-42X25-50,24,N,N,N
45003548,1025,POI70B,M,N,POLY-RÖRISOL AL-48X25-50,20,N,N,N
45006031,1825,POI70B,M,N,POLY-RÖRISOL AL-76X30-50,12,N,N,N
45009010,507,POI70B,M,N,POLY-RÖRISOL AL-15X20-100,70,N,N,N
45009011,513,POI70B,M,N,POLY-RÖRISOL AL-18X20-100,70,N,N,N
45009012,534,POI70B,M,N,POLY-RÖRISOL AL-22X20-100,60,N,N,N
45009013,620,POI70B,M,N,POLY-RÖRISOL AL-28X20-100,48,N,N,N
45009014,892,POI70B,M,N,POLY-RÖRISOL AL-28X30-100,28,N,N,N
45009016,1040,POI70B,M,N,POLY-RÖRISOL AL-42X30-100,20,N,N,N
45009017,1395,POI70B,M,N,POLY-RÖRISOL AL-42X40-100,15,N,N,N
45009019,2075,POI70B,M,N,POLY-RÖRISOL AL-57X50-100,7,N,N,N
45009021,243,POI70B,ST,N,POLY-RÖRISOL AL-ABO-1520,20,N,N,N
45009022,247,POI70B,ST,N,POLY-RÖRISOL AL-ABO-1820,20,N,N,N
45009023,250,POI70B,ST,N,POLY-RÖRISOL AL-ABO-2220,20,N,N,N
45009024,271,POI70B,ST,N,POLY-RÖRISOL AL-ABO-2820,20,N,N,N
45009025,287,POI70B,ST,N,POLY-RÖRISOL AL-ABO-3520,20,N,N,N
45009027,446,POI70B,ST,N,POLY-RÖRISOL AL-ABO-4225,20,N,N,N
45009028,504,POI70B,ST,N,POLY-RÖRISOL AL-ABO-4825,20,N,N,N
45009029,402,POI70B,ST,N,POLY-RÖRISOL AL-ABO-1830,24,N,N,N
45009030,406,POI70B,ST,N,POLY-RÖRISOL AL-ABO-2230,24,N,N,N
45009031,418,POI70B,ST,N,POLY-RÖRISOL AL-ABO-2830,20,N,N,N
45009032,438,POI70B,ST,N,POLY-RÖRISOL AL-ABO-3530,12,N,N,N
45009033,507,POI70B,ST,N,POLY-RÖRISOL AL-ABO-4230,20,N,N,N
45009034,622,POI70B,ST,N,POLY-RÖRISOL AL-ABO-4830,20,N,N,N
45009035,704,POI70B,ST,N,POLY-RÖRISOL AL-ABO-5730,10,N,N,N
45009036,715,POI70B,ST,N,POLY-RÖRISOL AL-ABO-6030,10,N,N,N
45009039,644,POI70B,ST,N,POLY-RÖRISOL AL-ABO-2840,20,N,N,N
45009040,828,POI70B,ST,N,POLY-RÖRISOL AL-ABO-3540,12,N,N,N
45009041,843,POI70B,ST,N,POLY-RÖRISOL AL-ABO-4240,12,N,N,N
45009047,1240,POI70B,ST,N,POLY-RÖRISOL AL-ABO-5750,6,N,N,N
45009053,1450,POI70B,ST,N,ISOLERTEJP POLY-RÖRISOLAL-ASKB-40,16,N,N,N
47221225,651,POH60B,ST,N,CONLIT 150 25MM VIT VÄV1200X1000 1.2M2/ST(57.6M2/P),48,N,N,N
47221230,770,POH60B,ST,N,CONLIT 150 30MM VIT VÄV1200X1000 1.2M2/ST(48.0M2/P),40,N,N,N
47221240,1010,POH60B,ST,N,CONLIT 150 40MM VIT VÄV1200X1000 1.2M2/ST(36.0M2/P),30,N,N,N
47221250,1270,POH60B,ST,N,CONLIT 150 50MM VIT VÄV1200X1000 1.2M2/ST(28.8M2/P),24,N,N,N
47221320,293,POH60B,ST,N,CONLIT 150 20MM VIT VÄV600X1000 0.6M2/ST(3.6M2/FRP),6,N,N,N
47221330,424,POH60B,ST,N,CONLIT 150 30MM VIT VÄV600X1000 0.6M2/ST(2.4M2/FRP),4,N,N,N
47221410,395,POH60B,ST,N,CONLIT 300 10MM600X900 0.54M2/ST(108.0M2/P),200,N,N,N
47221415,448,POH60B,ST,N,CONLIT 300 15MM600X900 0.54M2/ST(70.2M2/P),130,N,N,N
