Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
459074,775,CX555A,ST,J,SPEGEL 500X1000X4MMM SÄKERHETSFOLIE,0,N,N,N
459075,629,CX5050,FRP,J,TRYCKE HABO A696 CLEANPOLERAD PP,0,N,N,N
459076,747,CX505A,FRP,J,TRYCKE HABO A6696 CLEANPOLERAD PP,0,N,N,N
459077,716,CX505B,FRP,J,TRYCKE HABO CLEAN A1871POLERAD PP,0,N,N,N
459078,716,CX505B,FRP,N,TRYCKE HABO CLEAN A1871BORSTAD PP,0,N,N,N
459079,242,CX505B,FRP,N,NYCKELSKYLT HABO 2991 CLEANPOLERAD SB,0,N,N,N
459080,242,CX505B,FRP,N,NYCKELSKYLT HABO 2991 CLEANBORSTAD SB,0,N,N,N
459081,581,CX505B,FRP,J,"WC-BEHÖR HABO CLEAN A262FÖR 414, 2014,2020 POLERAD SB",0,N,N,N
459082,581,CX505B,FRP,N,WC-BEHÖR HABO CLEAN A262BORSTAD SB,0,N,N,N
459083,624,CX505B,FRP,N,WC-BEHÖR HABO CLEAN A265FÖR 565 POLERAD SB,0,N,N,N
459084,629,CX505B,FRP,N,WC-BEHÖR HABO CLEAN A265BORSTAD SB,0,N,N,N
459085,242,CX505B,ST,J,TÄCKSKYLT HABO CLEAN 4265POLERAD SB,0,N,N,N
459086,242,CX505B,ST,N,TÄCKSKYLT HABO CLEAN 4265BORSTAD SB,0,N,N,N
459087,327,CX505B,ST,N,CYLINDERVRED HABO CLEAN 40POLERAD SB,0,N,N,N
459088,327,CX505B,ST,N,CYLINDERVRED HABO CLEAN 40BORSTAD SB,0,N,N,N
459089,271,CX505B,FRP,N,CYLINDERRING HABO CLEANPOLERAD SB,0,N,N,N
459090,271,CX505B,FRP,N,CYLINDERRING HABO CLEANBORSTAD SB,0,N,N,N
459091,2120,CD1500,RL,J,SYLLIST LVD 10X 45MM RLE 50M,0,N,N,N
459095,353,CX5760,ST,J,HANDDUKSHÄNGARE A2033-KROK ROSTFRI,0,N,N,N
459096,409,CX5760,ST,J,HANDDUKSHÄNGARE A3033-KROK ROSTFRI,0,N,N,N
459097,409,CX5760,ST,J,HANDDUKSHÄNGARE A3044-KROK ROSTFRI,0,N,N,N
462013,5150,CX5810,ST,J,PAPPERSKORG TORK 50 LTR B1ROSTFRI  460011,0,N,N,N
46201311,858,CK1050,ST,N,PORSPACKEL PLANITOPFINE FINISH ULTRAFINT 20KG,48,N,N,N
46201313,228,CK1050,ST,N,ROSTSKYDDSBRUK MAPEFER 1K5KG,0,N,N,N
46550242,62.5,CI1200,ST,J,MARKPLATTA VILLA SLÄT FASAD 50400X400X50MM GRÅ,0,N,N,N
468306,3370,CX695B,ST,N,TORKMATTA KÅBEX SENIOR GRÅ690MM X 390MM,0,N,N,N
468308,3850,CX695A,ST,N,FOTSKRAPA KÅBEXSM-GALLER 790MMX490MM,0,N,N,N
468314,68.5,CE121B,ST,N,RÖRSVEP STEN90MM VIT,0,N,N,N
468315,232,CE121B,ST,J,PÅSKJUTSRÖR90MM SVART,0,N,N,N
468316,232,CE121B,ST,N,PÅSKJUTSRÖR90MM VIT,0,N,N,N
468317,306,CE121B,ST,N,BRUNNSUTKASTARE90MM SVART,0,N,N,N
468318,306,CE121B,ST,N,BRUNNSUTKASTARE90MM VIT,0,N,N,N
468325,5875,CX340A,ST,J,NYCKELSKÅP STÖLDSKYDDANDE N48K365X300X130 MM F 48 NYCKLAR,0,N,N,N
468326,9050,CX340A,ST,N,NYCKELSKÅP STÖLDSKYDDANDE N100560X350X130 MM F 100 NYCKLAR,0,N,N,N
468327,10750,CX340B,ST,N,NYCKELSKÅP STÖLDSKYDDANDE N144660X450X130 MM F 144 NYCKLAR,0,N,N,N
468328,264,CX5150,FRP,J,TRYCKE HOPPE IBIZA37-42MM INKL NYCKELSKYLT ALU,0,N,N,N
468329,388,CX5150,FRP,J,TRYCKE HOPPE IBIZA37-42MM INKL WC-BEHÖR ALU,0,N,N,N
468330,2245,CX4410,ST,N,SÄKERHETSBOX ABUS REDBOXTOM,0,N,N,N
468331,1175,CX4410,ST,N,VAJERLÅS ABUS SAFEFLEX C503INKL WIRE 1MTR UNIVERSAL,0,N,N,N
468333,1515,CX4410,ST,N,VAJERLÅS ABUS SAFEFLEX C509INKL WIRE 3MTR UNIVERSAL,0,N,N,N
468334,1830,CX4410,ST,N,VAJERLÅS ABUS SAFEFLEX C515INKL WIRE 5MTR UNIVERSAL,0,N,N,N
468335,559,CX4410,ST,J,VAJERLÅS ABUS C553 INKL WIRE1MTR STANDARD,0,N,N,N
468339,492,CX4410,ST,N,LÅSNING ABUS V303KRAN/RATT/VENTIL 1-2.5 TUM,0,N,N,N
468341,973,CX4410,ST,N,LÅSNING ABUS V307KRAN/RATT/VENTIL 5-6.5 TUM,0,N,N,N
468344,665,CX4410,ST,N,"LÅSNING ABUS V423KULVENT SMALL0,25-1 TUM",0,N,N,N
468346,1060,CX4410,ST,N,LÅSNING ABUS V442KULVENT SMALL10-23MM,0,N,N,N
468347,2105,CX4410,ST,N,LÅSNING ABUS V448 KULVENT BIG24-43MM,0,N,N,N
468350,254,CX4410,ST,N,SAXLÅS/HUVUDSTRÖMBRY ABUS H712131X60MM STÅL,0,N,N,N
