Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
61050375,119100,RV2140,STK,N,YUTAKI SC R32 6KW IDO 200LRWD-2.5NRWE-200S-W,0,N,N,N
61050377,124800,RV2140,STK,N,YUTAKI SC R32 6KW IDO 260LRWD-2.5NRWE-260S-W,0,N,N,N
61050379,127700,RV2140,STK,N,YUTAKI SC R32 8KW IDO 200LRWD-3.0NRWE-200S-W,0,N,N,N
61050381,128700,RV2140,STK,N,YUTAKI SC R32 8KW IDO 260LRWD-3.0NRWE-260S-W,0,N,N,N
61050400,58300,RV2140,STK,N,YUTAKI S R32 IDU 4.3KWRWM-2.0NRE-W,0,N,N,N
61050402,59300,RV2140,STK,N,YUTAKI S R32 IDU 6KWRWM-2.5NRE-W,0,N,N,N
61050404,60100,RV2140,STK,N,YUTAKI S R32 IDU 8KWRWM-3.0NRE-W,0,N,N,N
61080020,4260,RV2100,STK,N,PC ARFPE FJÄRRKONTROLL TRÅD70510002,0,N,N,N
61080023,987,RV2210,STK,N,TRÅDLÖS KONTROLLER PRIMARYHRBA31NEGH,0,N,N,N
61080026,4970,RV2210,STK,N,TRÅDBUNDEN KONRTOLLER PRIMARYHCWA21NEWH,0,N,N,N
61080107,115,RV2100,STK,N,PCC 1A IN/UTGÅNGSSIGNALKS4235 03XA 24LV 300D,0,N,N,N
61080225,5025,RV2100,STK,J,PC-ARFP1ETRÅDBUNDEN FJÄRRKONTROLL,0,N,N,N
61081020,1455,RV2140,STK,N,"HITACHI VAT.TEMP.SE ATW-WTS02Y9E500004, VÄRME",0,N,N,N
61081038,4120,RV2140,STK,N,HITACHI 3-VÄG VENTIL ATW-3WV-07E549906. HEATING,0,N,N,N
6118328,160300,RB1530,ST,N,"KOMPRESSOR SH 120 A4A BC400/3/50, löd",0,N,N,N
6118330,114700,RB1530,ST,N,KOMPRESSOR SH 140 A4A BC400/3/50 löd,0,N,N,N
6118332,108300,RB1530,ST,J,"KOMPRESSOR SH 184 A4A LC400/3/50, löd",0,N,N,N
6118334,124300,RB1530,ST,N,"KOMPRESSOR SH 105 A4A BC400/3/50, löd",0,N,N,N
630063301,33200,RF0550,ST,N,FÖRÅNGAREGDE 311E4,0,N,N,N
630063303,52800,RF0550,ST,N,FÖRÅNGAREGDE 312E4,0,N,N,N
630063305,73100,RF0550,ST,N,FÖRÅNGAREGDE 313E4,0,N,N,N
630063307,92400,RF0550,ST,N,FÖRÅNGAREGDE 314E4,0,N,N,N
630063311,141000,RF0550,ST,N,FÖRÅNGAREGDE 316E4,0,N,N,N
630063324,37900,RF0550,ST,N,FÖRÅNGAREGDE 311E7 ED,0,N,N,N
630063326,55500,RF0550,ST,N,FÖRÅNGAREGDE 312E7 ED,0,N,N,N
630063328,76400,RF0550,ST,N,FÖRÅNGAREGDE 313E7 ED,0,N,N,N
630063330,96800,RF0550,ST,N,FÖRÅNGAREGDE 314E7 ED,0,N,N,N
630063332,123700,RF0550,ST,N,FÖRÅNGAREGDE 315E7 ED,0,N,N,N
630063334,143400,RF0550,ST,N,FÖRÅNGAREGDE 316E7 ED,0,N,N,N
64325711,4870,RQ0160,ST,N,"RADIALFLÄKT RREF5 192X40R, T37",0,N,N,N
64325712,7675,RQ0160,ST,N,"AXIALFLÄKT 2VGV45 300V, N19-B5N19-B5 INKL. 6UF KONDENSATOR",0,N,N,N
64325715,129,RQ0160,ST,N,INLOPPSKONA TILL T37-B5 16290,0,N,N,N
65441100,9175,RQ0520,ST,J,IR SENSORCELL A3 HC-KÖLDMEDIUMFÖR STRATUS OCH D-TEK 3,0,N,N,N
65441101,690,RQ0520,ST,J,HÖRLURARFÖR INFICONS LÄCKSÖKARE,0,N,N,N
65441138,1795,RQ0520,ST,J,PREMIUM-HÖRLURARFÖR INFICONS LÄCKSÖKARE,0,N,N,N
6800001,926,RA0010,ST,N,PACK.SATS VENTILPL. PKxxx/00112845307,0,N,N,N
6800002,10000,RA0010,ST,N,VENTILPLATTA KOMPL.2490774 PK,0,N,N,N
6800003,926,RA0010,ST,N,PACK.SATS VENTILPL. PK0014/172845318,0,N,N,N
6800012,7475,RA0010,ST,J,PACKNINGSSATS KOMPL.PK 2490785,0,N,N,N
6800021,236,RA0010,ST,J,"PACKNING AVST.VENTIL 2963043ALLA DL,D2D/S,D3D/S U/D3DS-150",0,N,N,N
6800025,16450,RA0010,ST,J,"VENTILPLATTESATS 2830345PL, PLG          6720695",0,N,N,N
6800026,16450,RA0010,ST,N,"VENTILPLATTA KOMPL.2490843PL, PLG xxx/0040-0062",0,N,N,N
6800038,11000,RA0010,ST,N,PACKNINGSSATS PL 2490832,0,N,N,N
6800039,4530,RA0010,ST,N,PACKNINGSSATS KOMPL. 3092617DLHA,0,N,N,N
6800041,1330,RA0010,ST,N,"PACKNING VENT.PL. D4DH, D4DL2528900",0,N,N,N
6800045,1330,RA0010,ST,J,"PACKNING VENT.PL. D4DJ, D4DT2528977",0,N,N,N
6800050,1330,RA0010,ST,N,"PACKNING UNDER VENT.PL.31062250.042-0.043"",D8DL, D8DH",0,N,N,N
6800053,70.5,RA0010,STK,J,PACKNING OLJESYNGLAS 2042028,0,N,N,N
6800106,79400,RA0010,ST,N,Kapreglering komplett ModuloadD3DA-50X/H Generation 3 & 4.,0,N,N,N
6800110,1835,RA0010,ST,N,"PACKNING D4,D6,D8SJ/RJ 2845512FÖR VENTILPLATTA",0,N,N,N
6800118,21300,RA0010,ST,N,TERMINALPLATTA D4D2514225,0,N,N,N
